cullum_id	name	class
1	Swift, Joseph G	1802
2	Levy, Simon M	1802
3	Armistead, Walker K	1803
4	Jackson, Henry B	1803
5	Livingston, John	1803
6	Gates, Samuel	1804
7	Allen, Hannibal M	1804
8	Bomford, George	1805
9	McRee, William	1805
10	Totten, Joseph G	1805
11	Gates, William	1806
12	Heileman, Julius F	1806
13	Bonis, Pascal Vincent	1806
14	Chouteau, Auguste	1806
15	Partridge, Alden	1806
16	Gratiot, Charles	1806
17	Wood, Eleazer D	1806
18	Partridge, William	1806
19	Willard, Prentiss	1806
20	Proveaux, Joseph	1806
21	Bennett, Thomas	1806
22	Allen, Ethan A	1806
23	Lucas, Robert	1806
24	Wyndham, John D	1806
25	Loramier, Louis	1806
26	Post, Justus	1807
27	Clark, Satterlee	1807
28	Anderson, John	1807
29	Champlin, Samuel	1807
30	Noah, Samuel	1807
31	Buck, Daniel A, A	1808
32	Babcock, Samuel	1808
33	Thayer, Sylvanus	1808
34	Rathbone, Samuel B	1808
35	Valle, Louis	1808
36	Fay, Heman A	1808
37	Burton, Oliver G	1808
38	Huntington, Minor	1808
39	Mason, Milo	1808
40	Peters, George P	1808
41	Gibson, James	1808
42	Newman, Samuel	1808
43	Roberts, Alpheus	1808
44	Leonard, Luther	1808
45	Holley, Samuel H	1808
46	Van De Venter, Christopher	1809
47	Conkling, Solomon G	1809
48	Magee, Augustus W	1809
49	Haxtun, Milton	1809
50	Hall, Anson	1809
51	Sands, Abraham L	1809
52	Randell, Theodore	1809
53	Williams, Alexander J	1811
54	Boisaubin, Mane V	1811
55	Larrabee, Adam	1811
56	Hobart, Henry A	1811
57	Ketchum, Thomas	1811
58	Cobb, James D	1811
59	Irvine, Armstrong	1811
60	Beall, Thomas J	1811
61	Dalliba, James	1811
62	Loomis, Gustavus	1811
63	Smith, Ezra	1811
64	Ashley, Richard H	1811
65	Villard, Hippolyte H	1811
66	Bliss, John	1811
67	Burchstead, Henrv A	1811
68	Marsh, Ormond	1811
69	Ronan, George	1811
70	Field, Benjamin	1811
71	Abert, John J	1811
72	Wilcox, Joseph M	1812
73	Conant, Augustus	1812
74	Buck, Londus L	1812
75	Thompson, Alexander R	1812
76	Bell, John R	1812
77	Murdock, Francis B	1812
78	Templeman, George	1812
79	Randolph, Thomas B	1812
80	Hobart, William F	1812
81	Sumter, William	1812
82	Hight, George W	1812
83	Brush, John S	1812
84	Osgood, Nathaniel W	1812
85	Morley, George	1812
86	Fanning, Alexander C, W	1812
87	Cutbush, William	1812
88	Smith, William W	1812
89	DeRussy, Rene E	1812
90	Trescot, George	1813
91	Gardiner, George W	1814
92	Merchant, Charles S	1814
93	Dana, Nathaniel G	1814
94	Munroe, John	1814
95	Allanson, John S	1814
96	DeRussy, Lewis G	1814
97	Childs, Thomas	1814
98	Birdsall, Stephen	1814
99	Wright, John	1814
100	Brooke, Edmund	1814
101	Armstrong, John	1814
102	Ripley, James W	1814
103	Turner, Daniel	1814
104	Craig, Isaac E	1814
105	Thruston, Charles M	1814
106	Fitzhugh, Henry W	1814
107	Davis, Jackman J	1814
108	Stephenson, Thomas T	1814
109	Humphrey, Evans	1814
110	Wetmore, Samuel W	1814
111	Wells, William	1814
112	Booth, William L	1814
113	Baird, Thomas J	1814
114	Parkhurst, Jabez	1814
115	Armstrong, Robert L	1814
116	Badollet, James P	1814
117	Gardner, George W	1814
118	Lowe, Bradley S, A	1814
119	Broom, Thomas R	1814
120	Brunot, Hilary	1814
121	Middleton, Henry	1815
122	Rigal, William F	1815
123	Simonson, James	1815
124	Hills, John	1815
125	Willard, Simon	1815
126	Symington, John	1815
127	Gordon, William W	1815
128	Dulany, Henry R	1815
129	Sloo, John R	1815
130	Griswold, Henry W	1815
131	Monroe, James	1815
132	Brent, Robert C	1815
133	Wendell, Abraham	1815
134	Washington, George A	1815
135	Scott, Robert J	1815
136	Brewer, Alonzo	1815
137	Berrier, Francis N	1815
138	Cooper, George	1815
139	Smith, Henry	1815
140	Cochrane, Alexander F	1815
141	Van DeVenter, Michael F	1815
142	Johnson, Milo	1815
143	Gano, Aaron G	1815
144	Forsyth, Robert M	1815
145	Lendrum, Thomas W	1815
146	Blaney, George	1815
147	Leslie, Thomas J	1815
148	Eveleth, William S	1815
149	Pooler, Robert W	1815
150	Chase, William H	1815
151	Williams, Wolvert E	1815
152	Davidson, William B	1815
153	Webber, John A	1815
154	Gardner, Thomas J	1815
155	Bonneville, Benjamin L, E	1815
156	Cooper, Samuel	1815
157	Davies, Charles	1815
158	Stubbs, James R	1815
159	Embury, Peter	1815
160	White, Richard M	1815
161	Roumfort, Augustus L	1817
162	Spencer, James M	1817
163	Adams, Isaac A	1817
164	Graham, William M	1817
165	Graham, James D	1817
166	Despinville, Charles	1817
167	Kirk, John C	1817
168	Vinton, John R	1817
169	Lee, Richard B	1817
170	Griffith, Frederick L	1817
171	Lambert, Edward J	1817
172	McNeill, William Gibbs	1817
173	McDonald, Angus W	1817
174	Berryman, Henry	1817
175	Eakin, Constantine M	1817
176	Orr, John D	1817
177	Hitchcock, Ethan A	1817
178	Washington, John M	1817
179	Madison, Ambrose	1817
180	Delafield, Richard	1818
181	Talcott, Andrew	1818
182	Smith, S Stanhope	1818
183	Webster, Horace	1818
184	Ringgold, Samuel	1818
185	Brown, Harvey	1818
186	Chambers, Joseph N	1818
187	McKenzie, Samuel	1818
188	Porter, Giles	1818
189	Corprew, George W	1818
190	Jackson, John J	1818
191	Harding, Edward	1818
192	Vining, Benjamin C	1818
193	Loring, Henry H	1818
194	Daingerfield, Joseph F	1818
195	Strong, Joseph	1818
196	Russell, John B, F	1818
197	Webb, George	1818
198	Bache, Hartman	1818
199	Newton, William S	1818
200	Brooke, Leonard O	1818
201	Giles, Henry	1818
202	Pratt, John T	1818
203	Eliason, William A	1819
204	Underhill, Frederick A	1819
205	Ogden, Cornelius A	1819
206	Mansfield, Edward D	1819
207	Brewerton, Henry	1819
208	Bowes, John R	1819
209	Thompson, Henry A	1819
210	Kinsley, Zebina J, D	1819
211	Turnbull, William	1819
212	Baker, Joshua	1819
213	Dimick, Justin	1819
214	Whistler, George W	1819
215	Walker, Benjamin	1819
216	Tyler, Daniel	1819
217	Hamtramck, John F	1819
218	Sickles, Ethan C	1819
219	Hepburne, James S	1819
220	L'Engle, John	1819
221	Edwards, John M	1819
222	Brockenbrough, Austin	1819
223	Malcolm, William	1819
224	Mackenzie, John	1819
225	Rupp, Joseph D	1819
226	Dumeste, Jacob A	1819
227	Blaney, James R	1819
228	Conant, Roswell	1819
229	Strong, Jasper	1819
230	Gilbert, Henry	1819
231	Swift, William H	1819
232	Tuttle, Stephen	1820
233	Donelson, Andrew J	1820
234	Sudler, Thomas E	1820
235	Bell, William H	1820
236	DeHart, William C	1820
237	Barbarin, Francis N	1820
238	Brooke, Robert S	1820
239	Chambers, James A	1820
240	Butler, Edward G, W	1820
241	Tompkins, Daniel D	1820
242	Winder, John H	1820
243	Buchanan, William P	1820
244	Dusenberry, Samuel B	1820
245	Feltus, Henry J	1820
246	Cruger, Nicholas	1820
247	Lowndes, Rawlins	1820
248	Morris, Lewis N	1820
249	Barney, Joshua	1820
250	Lindsay, George F	1820
251	Tufts, John M	1820
252	Gorham, Benjamin	1820
253	McRee, Samuel	1820
254	Noel, Thomas	1820
255	McArthur, Thomas	1820
256	Guerrant, Charles	1820
257	Ramsay, George D	1820
258	Hawkins, Edgar S	1820
259	Maitland, William S	1820
260	Skinner, Aaron B	1820
261	Morris, William W	1820
262	Courtenay, Edward H	1821
263	Burdine, Clark	1821
264	Prescott, Jonathan	1821
265	Wells, William W	1821
266	Dimmock, Charles	1821
267	Holland, John C	1821
268	Ross, Edward C	1821
269	Wheelwright, Washington	1821
270	Wallace, David	1821
271	Allston, Robert F, W	1821
272	Scott, John F	1821
273	Grier, James	1821
274	Scott, John B	1821
275	Pentland, Joseph	1821
276	Morton, Alexander H	1821
277	Gaillard, William W	1821
278	Capron, Seth M	1821
279	Vail, Jefferson	1821
280	Henshaw, James	1821
281	Wheeler, Otis	1821
282	Bainbridge, Henry	1821
283	Rogers, Jason	1821
284	Porter, David M	1821
285	D'Lagnel, Julius A	1821
286	Dutton, George	1822
287	Mansfield, Joseph K, F	1822
288	Smith, Charles G	1822
289	Ingalls, Thomas R	1822
290	Bliss, Horace	1822
291	Cook, William	1822
292	Rose, William	1822
293	Gwynn, Walter	1822
294	Graham, Campbell	1822
295	Wheelock, Thompson B	1822
296	Cooke, James H	1822
297	Young, William C	1822
298	Canfield, Augustus	1822
299	Vinton, David H	1822
300	Schuler, John J	1822
301	Pickell, John	1822
302	Trimble, Isaac R	1822
303	Gird, Henry H	1822
304	Wright, Benjamin H	1822
305	Boyce, William M	1822
306	Denny, St Clair	1822
307	Lacey, Westwood	1822
308	Trenor, Eustace	1822
309	Wright, George	1822
310	Hunter, David	1822
311	McCall, George A	1822
312	Lincoln, Albert	1822
313	Lee, Francis	1822
314	Stephenson, James R	1822
315	Hopson, John D	1822
316	Morris, Thompson	1822
317	Wilcox, John R	1822
318	Johnston, Thomas	1822
319	Folger, George W	1822
320	McNamara, Thomas	1822
321	Wright, Aaron M	1822
322	Abercrombie, John J	1822
323	Wragg, Samuel	1822
324	Moniac, David	1822
325	Clark, Henry	1822
326	Mordecai, Alfred	1823
327	Greene, George S	1823
328	Richards, George C	1823
329	Holmes, Reuben	1823
330	Southerland, Samuel U	1823
331	Webster, Lucien B	1823
332	Guion, Frederick L	1823
333	Nauman, George	1823
334	Beckley, Alfred	1823
335	Searle, Frederic	1823
336	DeTreville, Richard	1823
337	Kinnard, Andrew	1823
338	Waters, George W	1823
339	Farley, John	1823
340	Nute, Levi M	1823
341	Batman, Mark W	1823
342	Thomas, Lorenzo	1823
343	Kingsbury, Julius J, B	1823
344	Andrews, George	1823
345	Collins, Richard D, C	1823
346	Reynolds, William	1823
347	Smith, Joseph R	1823
348	Day, Hannibal	1823
349	Stewart, Henry R	1823
350	Phillips, Elias	1823
351	Phillips, Joseph A	1823
352	Richardson, Asa	1823
353	Newell, John E	1823
354	Nicholls, John	1823
355	Crosman, George H	1823
356	Holt, Charles	1823
357	Cotton, John W	1823
358	Alexander, Edmund B	1823
359	Miller, Albert S	1823
360	Birdsall, Egbert B	1823
361	Mahan, Dennis H	1824
362	Smith, John W, A	1824
363	Parrott, Robert P	1824
364	Hazzard, R, Edward	1824
365	Findlay, John King	1824
366	Bennett, Napoleon B	1824
367	Dillahunty, John N	1824
368	Jones, Francis L	1824
369	Long, George W	1824
370	Fessenden, John M	1824
371	Bainbridge, William P	1824
372	Picton, John M, W	1824
373	Wilson, Horatio A	1824
374	Tillinghast, Nicholas	1824
375	Williams, William G	1824
376	Drane, Anthony	1824
377	Jamison, Louis T	1824
378	Bickley, William	1824
379	Low, Ephraim W	1824
380	Cadle, Joseph	1824
381	Johnston, Alexander	1824
382	Harris, William L	1824
383	Bloodgood, William	1824
384	Eaton, William W	1824
385	Paige, Timothy	1824
386	Newcomb, Francis D	1824
387	Miles, Dixon S	1824
388	Backus, Electus	1824
389	Catlin, Julius	1824
390	Van Swearingen, Joseph	1824
391	Thompson, W, Beverhout	1824
392	Bache, Alexander D	1825
393	McMartin, Peter	1825
394	Bowman, Alexander H	1825
395	Brown, Thompson S	1825
396	Donelson, Daniel S	1825
397	Ryan, Stephen V, R	1825
398	Smead, Raphael C	1825
399	Huger, Benjamin	1825
400	Taylor, Francis	1825
401	Brisbane, Abbott H	1825
402	Hopkins, William Fenn	1825
403	Thornton, William A	1825
404	Harris, Joseph W	1825
405	Williams, Matthew J	1825
406	Anderson, Robert	1825
407	Mackay, Alexander D	1825
408	Irwin, James R	1825
409	Smith, Horace	1825
410	Smith, Charles F	1825
411	Seawell, Washington	1825
412	Carter, Lawrence F	1825
413	Norcom, Frederick	1825
414	Street, Nathaniel H	1825
415	Worth, Joseph S	1825
416	Harris, N, Sayre	1825
417	Cross, Osborne	1825
418	Bonnell, Joseph	1825
419	Montgomery, William R	1825
420	Linden, H, St. James	1825
421	Anderson, James J	1825
422	Burnham, James D	1825
423	Dorr, Gustavus	1825
424	Thomas, Frederick	1825
425	Garey, George W	1825
426	Engle, James	1825
427	Clay, Joseph	1825
428	Allston, Samuel R	1825
429	Bartlett, William H, C	1826
430	Twiss, Thomas S	1826
431	Bryant, William	1826
432	Cram, Thomas Jefferson	1826
433	Ridgely, Charles G	1826
434	McClellan, John	1826
435	Henderson, Bennett H	1826
436	Johnston, Albert S	1826
437	White, Edward B	1826
438	Dancy, Francis L	1826
439	Searight, Joseph D	1826
440	Townsend, Joel C	1826
441	Herring, Daniel S	1826
442	Woodbridge, George	1826
443	Clark, Michael M	1826
444	Ewing, Maskell C	1826
445	Heintzelman, Samuel P	1826
446	Brown, Theophilus B	1826
447	Tufts, Danforth H	1826
448	Pleasonton, Augustus J	1826
449	Parks, Martin P	1826
450	Grayson, John B	1826
451	Williamson, John	1826
452	Griffin, Henry J	1826
453	Archer, John	1826
454	Ridgely, Samuel H	1826
455	Berrien, John M	1826
456	Babbitt, Edwin B	1826
457	Colcock, Richard W	1826
458	Minor, Charles L, C	1826
459	Sims, William H	1826
460	Brooke, Francis J	1826
461	Macrae, Nathaniel C	1826
462	Allen, James G	1826
463	Baldwin, Alexander G	1826
464	Eaton, Amos B	1826
465	Merrill, Moses E	1826
466	Colerick, Charles	1826
467	Casey, Silas	1826
468	Pearce, Thomas H	1826
469	Smith, E, Kirby	1826
470	Sibley, Ebenezer S	1827
471	Childe, John	1827
472	Maynadier, William	1827
473	Bradford, James A, J	1827
474	Bibb, Lucien J	1827
475	Buford, Napoleon B	1827
476	Schenck, Edwin	1827
477	Polk, Leonidas	1827
478	Sterrett, Essex	1827
479	Fetterman, George	1827
480	Aisquith, William E	1827
481	Worthington, Thomas	1827
482	Rains, Gabriel J	1827
483	Furman, John G	1827
484	Magruder, William B	1827
485	Stockton, Thomas B, W	1827
486	Hooe, Alexander S	1827
487	Flanagan, William	1827
488	Prentiss, George H	1827
489	Perkins, David	1827
490	Hitchcock, Samuel	1827
491	Center, Alexander J	1827
492	Cooke, Philip St George	1827
493	Trask, Thomas S	1827
494	Hetzel, Abner R	1827
495	La Motte, Joseph H	1827
496	Lacey, Edgar M	1827
497	Gale, Levin	1827
498	Simonton, Isaac P	1827
499	Van Horne, Jefferson	1827
500	Hood, Washington	1827
501	Lynde, Isaac	1827
502	Eaton, Nathaniel J	1827
503	Westmore, Stephen M	1827
504	Greenough, Jonathan K	1827
505	Stilwell, William S	1827
506	Van Buren, Abraham	1827
507	Clark, Nelson N	1827
508	Church, Albert E	1828
509	Tilghman, Richard C	1828
510	Mercer, Hugh W	1828
511	Temple, Robert E	1828
512	Collins, Charles	1828
513	Austin, Ivers J	1828
514	French, Edmund	1828
515	Locke, Joseph L	1828
516	Chase, George E	1828
517	Lane, John F	1828
518	Palmer, William	1828
519	Adams, Thomas B	1828
520	Clary, Robert E	1828
521	Sevier, Robert	1828
522	Mather, William W	1828
523	Mitchell, Enos G	1828
524	Izard, James F	1828
525	Cutts, Thomas	1828
526	Baker, William H	1828
527	Thompson, James L	1828
528	Rousseau, Gustave S	1828
529	Kinsman, Benjamin W	1828
530	Davis, Jefferson	1828
531	Morrison, William L, E	1828
532	Cobb, Samuel K	1828
533	Torrence, Samuel	1828
534	Foster, Amos	1828
535	Drayton, Thomas F	1828
536	Brockway, Thomas C	1828
537	Gardenier, John R, B	1828
538	Wright, Crafts J	1828
539	Penrose, James W	1828
540	Van Wyck, Philip R	1828
541	Mason, Charles	1829
542	Lee, Robert E	1829
543	Harford, William H	1829
544	Izard, J, Allen Smith	1829
545	Barnes, James	1829
546	Buckingham, Catharinus P	1829
547	Bryce, Joseph Smith	1829
548	Mackay, John	1829
549	Hackley, Charles W	1829
550	Knowlton, Miner	1829
551	Casey, John C	1829
552	McKee, William R	1829
553	Johnston, Joseph E	1829
554	Kennedy, John F	1829
555	Mitchel, O, McKnight	1829
556	Brown, Gustavus	1829
557	Burbank, Sidney	1829
558	Hoffman, William	1829
559	Petigru, Charles	1829
560	Hunt, Franklin E	1829
561	Lupton, Lancaster P	1829
562	Eastman, Seth	1829
563	Swords, Thomas	1829
564	Cady, Albemarle	1829
565	Davies, Thomas A	1829
566	Blanchard, Albert G	1829
567	Howe, Chileab S	1829
568	Sibley, Caleb C	1829
569	Wright, James H	1829
570	Sterling, George A	1829
571	Pawling, Joseph H	1829
572	Snyder, Antes	1829
573	Warfield, William H	1829
574	Clark, James	1829
575	Allen, James	1829
576	Freeman, Jonathan	1829
577	Davis, John P	1829
578	Bowdoin, George R, J	1829
579	Long, Edwin R	1829
580	Brice, Benjamin W	1829
581	Burnet, Robert W	1829
582	Moore, James S	1829
583	May, Charles O	1829
584	Holmes, Theophilus H	1829
585	Williams, Edward R	1829
586	Screven, Richard B	1829
587	Swift, Alexander J	1830
588	Basinger, William E	1830
589	Chandler, Walter S	1830
590	Vinton, Francis	1830
591	Pendleton, William N	1830
592	Lawson, George W	1830
593	Lee, Thomas J	1830
594	Barry, John W	1830
595	Linnard, Thomas B	1830
596	Poole, Benjamin	1830
597	Drum, Simon H	1830
598	Prentiss, James H	1830
599	Whitely, Robert H, K	1830
600	Rose, Edwin	1830
601	Magruder, John B	1830
602	Bledsoe, Albert T	1830
603	Stoddard, John S	1830
604	Murray, John W	1830
605	West, James	1830
606	Hill, James M	1830
607	Kinney, Samuel	1830
608	Leavenworth, Jesse H	1830
609	Clark, Meriwether L	1830
610	Collingsworth, John T	1830
611	Beall, Lloyd J	1830
612	Heyward, William C	1830
613	Ritner, Joseph	1830
614	Burgwin, John H, K	1830
615	Alexander, Thomas L	1830
616	Taylor, James H	1830
617	Buchanan, Robert C	1830
618	Daviess, Camillus C	1830
619	Vanderveer, John S	1830
620	Royster, Thomas J	1830
621	Wilson, George	1830
622	Patten, George W	1830
623	Eustis, William	1830
624	Manning, David A	1830
625	McClure, George W	1830
626	Ross, Richard H	1830
627	Clendenin, John M	1830
628	Legate, Stephen B	1830
629	Park, Roswell	1831
630	Clay, Henry	1831
631	Allen, James	1831
632	Prentiss, Henry E	1831
633	Lea, Albert Miller	1831
634	Peyton, Richard H	1831
635	Norton, William A	1831
636	Turner, George W	1831
637	Ridgely, Samuel C	1831
638	Miller, Samuel H	1831
639	Talcott, George H	1831
640	Ammen, Jacob	1831
641	Humphreys, Andrew A	1831
642	Emory, William H	1831
643	Chapman, William	1831
644	Larnard, Charles H	1831
645	Eastman, Elbridge G	1831
646	Scott, Moses	1831
647	McKean, Thomas J	1831
648	Van Rensselaer, Henry	1831
649	Ogden, Edmund A	1831
650	Northrop, Lucius B	1831
651	Covington, Erasmus F	1831
652	Van Cleve, Horatio P	1831
653	Alden, Bradford R	1831
654	Stockton, Thomas	1831
655	Curtis, Samuel R	1831
656	Williams, James S	1831
657	Wood, Ingham	1831
658	Wilkinson, Frederick	1831
659	Harvey, John G	1831
660	Whittlesey, Charles	1831
661	Conrad, John	1831
662	Ward, George W	1832
663	Smith, Robert Percy	1832
664	Ewell, Benjamin S	1832
665	Cass, George W	1832
666	Bailey, Jacob W	1832
667	Cocke, Philip St George	1832
668	Sill, Henry G	1832
669	Vance, Joseph C	1832
670	Watson, George	1832
671	Keyes, Erasmus D	1832
672	McDuffee, Franklin	1832
673	Howell, Lewis	1832
674	Wall, William	1832
675	Macomb, John N	1832
676	Deas, Edward	1832
677	Brackett, John E	1832
678	Burnett, Ward B	1832
679	Simpson, James H	1832
680	Brush, Alfred	1832
681	Fain, Richard G	1832
682	Yoakum, Henderson K	1832
683	Tilghman, Tench	1832
684	Pettes, William H	1832
685	Wilkinson, Theophilus F, J	1832
686	Sitgreaves, Lorenzo	1832
687	Crittenden, George B	1832
688	Brown, Jacob	1832
689	Whiting, Daniel P	1832
690	Marcy, Randolph B	1832
